1FTVVIPMikado-Black SDF-Desc-Red,Material,,1FTVVIPMikado-Black SDF Material Desc Red,1FTVVIPMikado-Black SDF Material Desc Red,NotoSansSC-ExtraBold SDF Material Desc Red,KO_JALNANGOTHICTTF SDF Material Desc Red,JP_FUTEHODO-MARUGOTHIC SDF Material Desc Red,1FTVVIPMikado-Black SDF Material Desc Red,1FTVVIPMikado-Black SDF Material Desc Red,1FTVVIPMikado-Black SDF Material Desc Red,1FTVVIPMikado-Black SDF Material Desc Red,1FTVVIPMikado-Black SDF Material Desc Red,1FTVVIPMikado-Black SDF Material Desc Red,1FTVVIPMikado-Black SDF Material Desc Red,movavi-grotesque Material Desc Red,NOTOSANSTHAI-EXTRABOLD SDF Material Desc Red,BakbakOne-Regular SDF Material Desc Red
1FTVVIPMikado-Black SDF-Desc-Yellow,Material,,1FTVVIPMikado-Black SDF Material Desc Yellow,1FTVVIPMikado-Black SDF Material Desc Yellow,NotoSansSC-ExtraBold SDF Material Desc Yellow,KO_JALNANGOTHICTTF SDF Material Desc Yellow,JP_FUTEHODO-MARUGOTHIC SDF Material Desc Yellow,1FTVVIPMikado-Black SDF Material Desc Yellow,1FTVVIPMikado-Black SDF Material Desc Yellow,1FTVVIPMikado-Black SDF Material Desc Yellow,1FTVVIPMikado-Black SDF Material Desc Yellow,1FTVVIPMikado-Black SDF Material Desc Yellow,1FTVVIPMikado-Black SDF Material Desc Yellow,1FTVVIPMikado-Black SDF Material Desc Yellow,movavi-grotesque Material Desc Yellow,NOTOSANSTHAI-EXTRABOLD SDF Material Desc Yellow,BakbakOne-Regular SDF Material Desc Yellow
1FTVVIPMikado-Black SDF-Title-Big,Material,,1FTVVIPMikado-Black SDF Material Title Big,1FTVVIPMikado-Black SDF Material Title Big,NotoSansSC-ExtraBold SDF Material Title Big,KO_JALNANGOTHICTTF SDF Material Title Big,JP_FUTEHODO-MARUGOTHIC SDF Material Title Big,1FTVVIPMikado-Black SDF Material Title Big,1FTVVIPMikado-Black SDF Material Title Big,1FTVVIPMikado-Black SDF Material Title Big,1FTVVIPMikado-Black SDF Material Title Big,1FTVVIPMikado-Black SDF Material Title Big,1FTVVIPMikado-Black SDF Material Title Big,1FTVVIPMikado-Black SDF Material Title Big,movavi-grotesque Material Title Big,NOTOSANSTHAI-EXTRABOLD SDF Material Title Big,BakbakOne-Regular SDF Material Title Big
1FTVVIPMikado-Black SDF-Title-Black,Material,,1FTVVIPMikado-Black SDF Material Title Black,1FTVVIPMikado-Black SDF Material Title Black,NotoSansSC-ExtraBold SDF Material Title Black,KO_JALNANGOTHICTTF SDF Material Title Black,JP_FUTEHODO-MARUGOTHIC SDF Material Title Black,1FTVVIPMikado-Black SDF Material Title Black,1FTVVIPMikado-Black SDF Material Title Black,1FTVVIPMikado-Black SDF Material Title Black,1FTVVIPMikado-Black SDF Material Title Black,1FTVVIPMikado-Black SDF Material Title Black,1FTVVIPMikado-Black SDF Material Title Black,1FTVVIPMikado-Black SDF Material Title Black,movavi-grotesque Material Title Black,NOTOSANSTHAI-EXTRABOLD SDF Material Title Black,BakbakOne-Regular SDF Material Title Black
1FTVVIPMikado-Black SDF-Title-Blue,Material,,1FTVVIPMikado-Black SDF Material Title Blue,1FTVVIPMikado-Black SDF Material Title Blue,NotoSansSC-ExtraBold SDF Material Title Blue,KO_JALNANGOTHICTTF SDF Material Title Blue,JP_FUTEHODO-MARUGOTHIC SDF Material Title Blue,1FTVVIPMikado-Black SDF Material Title Blue,1FTVVIPMikado-Black SDF Material Title Blue,1FTVVIPMikado-Black SDF Material Title Blue,1FTVVIPMikado-Black SDF Material Title Blue,1FTVVIPMikado-Black SDF Material Title Blue,1FTVVIPMikado-Black SDF Material Title Blue,1FTVVIPMikado-Black SDF Material Title Blue,movavi-grotesque Material Title Blue,NOTOSANSTHAI-EXTRABOLD SDF Material Title Blue,BakbakOne-Regular SDF Material Title Blue
1FTVVIPMikado-Black SDF-Title-Brown,Material,,1FTVVIPMikado-Black SDF Material Title Brown,1FTVVIPMikado-Black SDF Material Title Brown,NotoSansSC-ExtraBold SDF Material Title Brown,KO_JALNANGOTHICTTF SDF Material Title Brown,JP_FUTEHODO-MARUGOTHIC SDF Material Title Brown,1FTVVIPMikado-Black SDF Material Title Brown,1FTVVIPMikado-Black SDF Material Title Brown,1FTVVIPMikado-Black SDF Material Title Brown,1FTVVIPMikado-Black SDF Material Title Brown,1FTVVIPMikado-Black SDF Material Title Brown,1FTVVIPMikado-Black SDF Material Title Brown,1FTVVIPMikado-Black SDF Material Title Brown,movavi-grotesque Material Title Brown,NOTOSANSTHAI-EXTRABOLD SDF Material Title Brown,BakbakOne-Regular SDF Material Title Brown
1FTVVIPMikado-Black SDF-Title-Gray,Material,,1FTVVIPMikado-Black SDF Material Title Gray,1FTVVIPMikado-Black SDF Material Title Gray,NotoSansSC-ExtraBold SDF Material Title Gray,KO_JALNANGOTHICTTF SDF Material Title Gray,JP_FUTEHODO-MARUGOTHIC SDF Material Title Gray,1FTVVIPMikado-Black SDF Material Title Gray,1FTVVIPMikado-Black SDF Material Title Gray,1FTVVIPMikado-Black SDF Material Title Gray,1FTVVIPMikado-Black SDF Material Title Gray,1FTVVIPMikado-Black SDF Material Title Gray,1FTVVIPMikado-Black SDF Material Title Gray,1FTVVIPMikado-Black SDF Material Title Gray,movavi-grotesque Material Title Gray,NOTOSANSTHAI-EXTRABOLD SDF Material Title Gray,BakbakOne-Regular SDF Material Title Gray
1FTVVIPMikado-Black SDF-Title-Green,Material,,1FTVVIPMikado-Black SDF Material Title Green,1FTVVIPMikado-Black SDF Material Title Green,NotoSansSC-ExtraBold SDF Material Title Green,KO_JALNANGOTHICTTF SDF Material Title Green,JP_FUTEHODO-MARUGOTHIC SDF Material Title Green,1FTVVIPMikado-Black SDF Material Title Green,1FTVVIPMikado-Black SDF Material Title Green,1FTVVIPMikado-Black SDF Material Title Green,1FTVVIPMikado-Black SDF Material Title Green,1FTVVIPMikado-Black SDF Material Title Green,1FTVVIPMikado-Black SDF Material Title Green,1FTVVIPMikado-Black SDF Material Title Green,movavi-grotesque Material Title Green,NOTOSANSTHAI-EXTRABOLD SDF Material Title Green,BakbakOne-Regular SDF Material Title Green
1FTVVIPMikado-Black SDF-Title-Pink,Material,,1FTVVIPMikado-Black SDF Material Title Pink,1FTVVIPMikado-Black SDF Material Title Pink,NotoSansSC-ExtraBold SDF Material Title Pink,KO_JALNANGOTHICTTF SDF Material Title Pink,JP_FUTEHODO-MARUGOTHIC SDF Material Title Pink,1FTVVIPMikado-Black SDF Material Title Pink,1FTVVIPMikado-Black SDF Material Title Pink,1FTVVIPMikado-Black SDF Material Title Pink,1FTVVIPMikado-Black SDF Material Title Pink,1FTVVIPMikado-Black SDF Material Title Pink,1FTVVIPMikado-Black SDF Material Title Pink,1FTVVIPMikado-Black SDF Material Title Pink,movavi-grotesque Material Title Pink,NOTOSANSTHAI-EXTRABOLD SDF Material Title Pink,BakbakOne-Regular SDF Material Title Pink
1FTVVIPMikado-Black SDF-Title-Purple,Material,,1FTVVIPMikado-Black SDF Material Title Purple,1FTVVIPMikado-Black SDF Material Title Purple,NotoSansSC-ExtraBold SDF Material Title Purple,KO_JALNANGOTHICTTF SDF Material Title Purple,JP_FUTEHODO-MARUGOTHIC SDF Material Title Purple,1FTVVIPMikado-Black SDF Material Title Purple,1FTVVIPMikado-Black SDF Material Title Purple,1FTVVIPMikado-Black SDF Material Title Purple,1FTVVIPMikado-Black SDF Material Title Purple,1FTVVIPMikado-Black SDF Material Title Purple,1FTVVIPMikado-Black SDF Material Title Purple,1FTVVIPMikado-Black SDF Material Title Purple,movavi-grotesque Material Title Purple,NOTOSANSTHAI-EXTRABOLD SDF Material Title Purple,BakbakOne-Regular SDF Material Title Purple
1FTVVIPMikado-Black SDF-Title-Red,Material,,1FTVVIPMikado-Black SDF Material Title Red,1FTVVIPMikado-Black SDF Material Title Red,NotoSansSC-ExtraBold SDF Material Title Red,KO_JALNANGOTHICTTF SDF Material Title Red,JP_FUTEHODO-MARUGOTHIC SDF Material Title Red,1FTVVIPMikado-Black SDF Material Title Red,1FTVVIPMikado-Black SDF Material Title Red,1FTVVIPMikado-Black SDF Material Title Red,1FTVVIPMikado-Black SDF Material Title Red,1FTVVIPMikado-Black SDF Material Title Red,1FTVVIPMikado-Black SDF Material Title Red,1FTVVIPMikado-Black SDF Material Title Red,movavi-grotesque Material Title Red,NOTOSANSTHAI-EXTRABOLD SDF Material Title Red,BakbakOne-Regular SDF Material Title Red
1FTVVIPMikado-Black SDF-Title-Yellow,Material,,1FTVVIPMikado-Black SDF Material Title Yellow,1FTVVIPMikado-Black SDF Material Title Yellow,NotoSansSC-ExtraBold SDF Material Title Yellow,KO_JALNANGOTHICTTF SDF Material Title Yellow,JP_FUTEHODO-MARUGOTHIC SDF Material Title Yellow,1FTVVIPMikado-Black SDF Material Title Yellow,1FTVVIPMikado-Black SDF Material Title Yellow,1FTVVIPMikado-Black SDF Material Title Yellow,1FTVVIPMikado-Black SDF Material Title Yellow,1FTVVIPMikado-Black SDF Material Title Yellow,1FTVVIPMikado-Black SDF Material Title Yellow,1FTVVIPMikado-Black SDF Material Title Yellow,movavi-grotesque Material Title Yellow,NOTOSANSTHAI-EXTRABOLD SDF Material Title Yellow,BakbakOne-Regular SDF Material Title Yellow
Add 1 tray to continue!,Text,,Add <color=#1AA41D>1 tray</color> to continue!,Thêm <color=#1AA41D>1 khay</color> để tiếp tục!,添加<color=#1AA41D>1个托盘</color>以继续！,계속하려면 <color=#1AA41D>트레이 1개</color>를 추가하세요!,<color=#1AA41D>トレイを1つ</color>追加して続行！,,,,,,,,,,
Add Plate,Text,,Add Plate,Thêm đĩa,添加盘子,접시 추가,皿を追加,,,,,,,,,,
Add Plate!,Text,,Add Plate!,Thêm đĩa!,添加盘子！,접시 추가!,皿を追加！,,,,,,,,,,
Add Tray!,Text,,Add Tray!,Thêm khay!,添加托盘！,트레이 추가!,トレイを追加！,,,,,,,,,,
Add one plate!,Text,,Add one plate!,Thêm một đĩa!,添加一个盘子！,접시 하나 추가!,皿を1枚追加！,,,,,,,,,,
Are You Sure!,Text,,Are You Sure!,Bạn có chắc không!,你确定吗！,정말로 하시겠습니까!,本当によろしいですか！,,,,,,,,,,
Bacon,Text,,Bacon,Thịt xông khói,培根,베이컨,ベーコン,,,,,,,,,,
Beer,Text,,Beer,Bia,啤酒,맥주,ビール,,,,,,,,,,
Birthday,Text,,Birthday,Sinh nhật,生日,생일,誕生日,,,,,,,,,,
Bomb!,Text,,Bomb!,Bom!,炸弹！,폭탄!,ボム！,,,,,,,,,,
Breakfast,Text,,Breakfast,Bữa sáng,早餐,아침식사,朝食,,,,,,,,,,
Cappucino,Text,,Cappucino,Cà phê cappuccino,卡布奇诺,카푸치노,カプチーノ,,,,,,,,,,
Card Collection,Text,,Card Collection,Bộ sưu tập thẻ,卡片收藏,카드 컬렉션,カードコレクション,,,,,,,,,,
Card Star,Text,,Card Star,Thẻ sao,星卡,카드 스타,カードスター,,,,,,,,,,
Chicken,Text,,Chicken,Thịt gà,鸡肉,닭고기,チキン,,,,,,,,,,
Chinese,Text,,Chinese,Tiếng Trung,中文,중국어,中国語,,,,,,,,,,
Chocolate,Text,,Chocolate,Sô cô la,巧克力,초콜릿,チョコレート,,,,,,,,,,
Claim,Text,,Claim,Nhận,领取,받기,受け取る,,,,,,,,,,
Clear all plates!,Text,,Clear all plates!,Xóa tất cả đĩa!,清空所有盘子！,모든 접시 비우기!,すべての皿をクリア！,,,,,,,,,,
Cocoa,Text,,Cocoa,Ca cao,可可,코코아,ココア,,,,,,,,,,
Coconut,Text,,Coconut,Dừa,椰子,코코넛,ココナッツ,,,,,,,,,,
Coffee,Text,,Coffee,Cà phê,咖啡,커피,コーヒー,,,,,,,,,,
Collect card packs from amazing events and chest!,Text,,Collect card packs from amazing events and chest!,Thu thập gói thẻ từ các sự kiện và rương tuyệt vời!,从精彩活动和宝箱中收集卡包！,이벤트와 멋진 상자에서 카드 팩을 모으세요!,素晴らしいイベントや宝箱からカードパックを集めよう！,,,,,,,,,,
CollectGoldenChicken,Text,,Collect <color=#FFE92B>Golden chicken thighs</color> to open and claim rewards!,Thu thập <color=#FFE92B>đùi gà vàng</color> để mở và nhận phần thưởng!,收集<color=#FFE92B>金鸡腿</color>以开启并领取奖励！,<color=#FFE92B>황금 닭다리</color>를 모아 보상을 받으세요!,<color=#FFE92B>黄金のチキンドラム</color>を集めて報酬を獲得しよう！,,,,,,,,,,
Collection,Text,,Collection,Bộ sưu tập,收藏,컬렉션,コレクション,,,,,,,,,,
Combo,Text,,Combo {[VALUE]},Chuỗi {[VALUE]},连击 {[VALUE]},콤보 {[VALUE]},コンボ {[VALUE]},,,,,,,,,,
Complete all sets to claim collection rewards and Grill Badge!,Text,,Complete all sets to claim collection rewards and Grill Badge!,Hoàn thành tất cả bộ sưu tập để nhận thưởng và Huy hiệu Nướng!,完成所有套装以领取收藏奖励和烤架徽章！,모든 세트를 완료하고 컬렉션 보상과 그릴 배지를 받으세요!,すべてのセットを完成させてコレクション報酬とグリルバッジを手に入れよう！,,,,,,,,,,
Continue,Text,,Continue,Tiếp tục,继续,계속,続ける,,,,,,,,,,
Continue level for FREE,Text,,Continue level for <color=#FFDE00>FREE</color>,Tiếp tục màn chơi <color=#FFDE00>MIỄN PHÍ</color>,<color=#FFDE00>免费</color>继续关卡,<color=#FFDE00>무료</color>로 레벨 계속,<color=#FFDE00>無料</color>でレベルを続行,,,,,,,,,,
Conveyor,Text,,Conveyor,Băng chuyền,传送带,컨베이어,コンベア,,,,,,,,,,
Cooking,Text,,Cooking,Nấu ăn,烹饪,요리,料理,,,,,,,,,,
Cooking Pot,Text,,Cooking Pot,Nồi nấu ăn,锅,냄비,鍋,,,,,,,,,,
Crab,Text,,Crab,Cua,螃蟹,게,カニ,,,,,,,,,,
Cup Cake,Text,,Cup Cake,Bánh cupcake,杯子蛋糕,컵케이크,カップケーキ,,,,,,,,,,
Cutlery,Text,,Cutlery,Dụng cụ ăn,餐具,식기,カトラリー,,,,,,,,,,
Dinner,Text,,Dinner,Bữa tối,晚餐,저녁,ディナー,,,,,,,,,,
Drinks,Text,,Drinks,Đồ uống,饮料,음료,ドリンク,,,,,,,,,,
Earn awesome rewards,Text,,Earn awesome rewards,Nhận phần thưởng hấp dẫn,赢取精彩奖励,멋진 보상을 받으세요,素晴らしい報酬を獲得しよう,,,,,,,,,,
Eliminate Octochef immediately!,Text,,Eliminate Octochef immediately!,Loại bỏ Octochef ngay lập tức!,立即消灭章鱼厨师！,즉시 옥토셰프 제거!,今すぐオクトシェフを倒そう！,,,,,,,,,,
English,Text,,English,Tiếng Anh,英语,영어,英語,,,,,,,,,,
"Fail to sort items within 2 moves, the ice will grow thinker!",Text,,"Fail to sort items within 2 moves, the ice will grow thinker!","Không sắp xếp trong 2 lượt, băng sẽ dày thêm!",2步内未排序，冰层会变厚！,2턴 안에 정리하지 않으면 얼음이 두꺼워집니다!,2手以内に並べないと氷が厚くなります！,,,,,,,,,,
Fill the bar,Text,,Fill the bar,Làm đầy thanh,填满进度条,막대를 채우세요,バーを満たす,,,,,,,,,,
Finish an order!,Text,,Finish an order!,Hoàn thành một đơn hàng!,完成一个订单！,주문을 완료하세요!,注文を完了しよう！,,,,,,,,,,
Fish,Text,,Fish,Cá,鱼,생선,魚,,,,,,,,,,
Food,Text,,Food,Thức ăn,食物,음식,食べ物,,,,,,,,,,
Food Box,Text,,Food Box,Hộp thức ăn,食盒,푸드 박스,フードボックス,,,,,,,,,,
Free,Text,,Free,Miễn phí,免费,무료,無料,,,,,,,,,,
Free 1 Life,Text,,Free 1 Life,Tặng 1 mạng miễn phí,免费获得1条命,무료로 1 생명,無料で1ライフ,,,,,,,,,,
Freeze,Text,,Freeze,Đóng băng,冻结,얼음,フリーズ,,,,,,,,,,
Fried Chicken,Text,,Fried Chicken,Gà rán,炸鸡,프라이드치킨,フライドチキン,,,,,,,,,,
Frozen items can't be moved. Complete order in the same tray to melt!,Text,,Frozen items can't be moved. Complete order in the same tray to melt!,Món bị đóng băng không thể di chuyển. Hoàn thành đơn trong khay để làm tan băng!,冻结物品无法移动。在同一个托盘中完成订单以解冻！,얼음에 갇힌 아이템은 움직일 수 없습니다. 같은 트레이에서 주문을 완성해 녹이세요!,凍ったアイテムは動かせません。同じトレイで注文を完成させて溶かそう！,,,,,,,,,,
Full,Text,,Full,Đầy,满,가득 참,満タン,,,,,,,,,,
Get cards from card packs and frends to complete sets!,Text,,Get cards from card packs and friends to complete sets!,Nhận thẻ từ gói thẻ và bạn bè để hoàn thành bộ sưu tập!,从卡包和朋友那里获取卡片以完成套装！,카드 팩과 친구에게서 카드를 받아 세트를 완성하세요!,カードパックやフレンドからカードを集めてセットを完成させよう！,,,,,,,,,,
Giant Bundle,Text,,Giant Bundle,Gói khổng lồ,巨型礼包,거대 번들,ジャイアントバンドル,,,,,,,,,,
Golden Skewer,Text,,Golden Skewer,Xiên vàng,黄金串,황금 꼬치,ゴールデンスキュア,,,,,,,,,,
Grand Prize,Text,,Grand Prize,Giải thưởng lớn,大奖,대상,グランプリ,,,,,,,,,,
Grill,Text,,Grill,Vỉ nướng,烤架,그릴,グリル,,,,,,,,,,
Grill Ribs,Text,,Grill Ribs,Sườn nướng,烤排骨,그릴 립,グリルリブ,,,,,,,,,,
Hamburger,Text,,Hamburger,Bánh hamburger,汉堡,햄버거,ハンバーガー,,,,,,,,,,
Hidden Item,Text,,Hidden Item,Vật phẩm ẩn,隐藏物品,숨겨진 아이템,隠しアイテム,,,,,,,,,,
Home,Text,,Home,Trang chủ,主页,홈,ホーム,,,,,,,,,,
Honey Cake,Text,,Honey Cake,Bánh mật ong,蜂蜜蛋糕,꿀 케이크,ハニーケーキ,,,,,,,,,,
Hot Dog,Text,,Hot Dog,Xúc xích kẹp bánh mì,热狗,핫도그,ホットドッグ,,,,,,,,,,
Ice Lock,Text,,Ice Lock,Khóa băng,冰锁,얼음 잠금,アイスロック,,,,,,,,,,
Japanese,Text,,Japanese,Tiếng Nhật,日语,일본어,日本語,,,,,,,,,,
Jelly,Text,,Jelly,Thạch,果冻,젤리,ゼリー,,,,,,,,,,
Join Us!,Text,,Join Us!,Tham gia cùng chúng tôi!,加入我们,함께하세요!,参加しよう,,,,,,,,,,
Juice,Text,,Juice,Nước ép,果汁,주스,ジュース,,,,,,,,,,
Korean,Text,,Korean,Tiếng Hàn,韩语,한국어,韓国語,,,,,,,,,,
LEVEL FAIL,Text,,LEVEL FAIL,THẤT BẠI,关卡失败,레벨 실패,レベル失敗,,,,,,,,,,
Lamb Chops,Text,,Lamb Chops,Sườn cừu,羊排,양갈비,ラムチョップ,,,,,,,,,,
Language,Text,,Language,Ngôn ngữ,语言,언어,言語,,,,,,,,,,
LanguageName,Text,,English,Tiếng Việt,中国人,한국어,日本語,,,,,,,,,,
Languages:,Text,,Languages:,Ngôn ngữ:,语言：,언어:,言語：,,,,,,,,,,
Large Bundle,Text,,Large Bundle,Gói lớn,大型礼包,대형 번들,ラージバンドル,,,,,,,,,,
Lavender,Text,,Lavender,Hoa oải hương,薰衣草,라벤더,ラベンダー,,,,,,,,,,
Legendary Bundle,Text,,Legendary Bundle,Gói huyền thoại,传奇礼包,전설 번들,レジェンダリーバンドル,,,,,,,,,,
Less Offers!,Text,,Less Offers!,Ít ưu đãi hơn!,更少的优惠！,적은 혜택!,オファーが少ない！,,,,,,,,,,
Level,Text,,Level {[VALUE]},Cấp {[VALUE]},等级 {[VALUE]},레벨 {[VALUE]},レベル {[VALUE]},,,,,,,,,,
Lidded Tray,Text,,Lidded Tray,Khay có nắp,带盖托盘,뚜껑 있는 트레이,フタ付きトレイ,,,,,,,,,,
Limited Bundle,Text,,Limited Bundle,Gói giới hạn,限量礼包,한정 번들,限定バンドル,,,,,,,,,,
Limited Offer,Text,,Limited Offer,Ưu đãi có giới hạn,限时优惠,한정 혜택,期間限定オファー,,,,,,,,,,
Loading,Text,,Loading,Đang tải,加载中,로딩 중,読み込み中,,,,,,,,,,
Loading.,Text,,Loading.,Đang tải.,加载中。,로딩 중.,読み込み中。,,,,,,,,,,
Loading..,Text,,Loading..,Đang tải..,加载中..,로딩 중..,読み込み中..,,,,,,,,,,
Loading...,Text,,Loading...,Đang tải...,加载中...,로딩 중...,読み込み中...,,,,,,,,,,
Lobster,Text,,Lobster,Tôm hùm,龙虾,바닷가재,ロブスター,,,,,,,,,,
Lock & Key,Text,,Lock & Key,Ổ khóa & Chìa khóa,锁与钥匙,자물쇠와 열쇠,ロック＆キー,,,,,,,,,,
Macaron,Text,,Macaron,Bánh macaron,马卡龙,마카롱,マカロン,,,,,,,,,,
